,hyperparameters,num_features,mean_accuracy,std_accuracy,train_accuracy,test_accuracy
1203,"penalty: l1, C: 0.1, solver: liblinear",62,0.686036551,0.038680057,0.742092457,0.760869565
1207,"penalty: l2, C: 0.01, solver: liblinear",62,0.717708928,0.050280803,0.756690998,0.760869565
1227,"penalty: l2, C: 0.01, solver: liblinear",63,0.725014278,0.045497711,0.776155718,0.760869565
1283,"penalty: l1, C: 0.1, solver: liblinear",66,0.700671045,0.050045786,0.756690998,0.760869565
1289,"penalty: l2, C: 1, solver: liblinear",66,0.754188083,0.055839239,0.819951338,0.760869565
1303,"penalty: l1, C: 0.1, solver: liblinear",67,0.700671045,0.050045786,0.756690998,0.760869565
1323,"penalty: l1, C: 0.1, solver: liblinear",68,0.700671045,0.050045786,0.756690998,0.760869565
1343,"penalty: l1, C: 0.1, solver: liblinear",69,0.700671045,0.050045786,0.756690998,0.760869565
1363,"penalty: l1, C: 0.1, solver: liblinear",70,0.700671045,0.050045786,0.756690998,0.760869565
1383,"penalty: l1, C: 0.1, solver: liblinear",71,0.700671045,0.050045786,0.756690998,0.760869565
1704,"penalty: l1, C: 1, solver: liblinear",87,0.766371597,0.039754981,0.851581509,0.760869565
1725,"penalty: l2, C: 0.0001, solver: liblinear",88,0.746835142,0.040355106,0.759124088,0.760869565
1735,"penalty: l2, C: 0.0001, solver: saga",88,0.70309823,0.054640478,0.749391727,0.760869565
1745,"penalty: l2, C: 0.0001, solver: liblinear",89,0.756567676,0.040325186,0.766423358,0.760869565
1755,"penalty: l2, C: 0.0001, solver: saga",89,0.712854559,0.052727708,0.761557178,0.760869565
1765,"penalty: l2, C: 0.0001, solver: liblinear",90,0.75899486,0.043932204,0.766423358,0.760869565
1775,"penalty: l2, C: 0.0001, solver: saga",90,0.712854559,0.052727708,0.761557178,0.760869565
1785,"penalty: l2, C: 0.0001, solver: liblinear",91,0.74678755,0.046207859,0.749391727,0.760869565
1794,"penalty: l1, C: 1, solver: saga",91,0.707976394,0.050291056,0.759124088,0.760869565
1795,"penalty: l2, C: 0.0001, solver: saga",91,0.705525414,0.051513047,0.744525547,0.760869565
1805,"penalty: l2, C: 0.0001, solver: liblinear",92,0.74678755,0.046207859,0.749391727,0.760869565
1815,"penalty: l2, C: 0.0001, solver: saga",92,0.70309823,0.054640478,0.744525547,0.760869565
1817,"penalty: l2, C: 0.01, solver: saga",92,0.715329336,0.041947048,0.766423358,0.760869565
1825,"penalty: l2, C: 0.0001, solver: liblinear",93,0.739672568,0.020832188,0.756690998,0.760869565
1833,"penalty: l1, C: 0.1, solver: saga",93,0.705691986,0.030943343,0.763990268,0.760869565
1834,"penalty: l1, C: 1, solver: saga",93,0.712973539,0.031929948,0.773722628,0.760869565
1835,"penalty: l2, C: 0.0001, solver: saga",93,0.700813821,0.035941106,0.754257908,0.760869565
1836,"penalty: l2, C: 0.001, solver: saga",93,0.70811917,0.035675324,0.773722628,0.760869565
